Job ID,Salary Range Original,currency,salary_min,salary_max,salary_avg
147,₹19L - ₹35L,INR,1900000,3500000,2700000
148,A$101000 - A$130000,AUD,101000,130000,115500
149,$132000 - $156000,USD,132000,156000,144000
150,₹17L - ₹24L,INR,1700000,2400000,2050000
151,"¥10,200 - ¥12,600",JPY,10200,12600,11400
152,A$148000 - A$176000,AUD,148000,176000,162000
153,A$96000 - A$119000,AUD,96000,119000,107500
154,₹38L - ₹62L,INR,3800000,6200000,5000000
155,C$76000 - C$98000,CAD,76000,98000,87000
156,£101000 - £131000,GBP,101000,131000,116000
157,C$97000 - C$118000,CAD,97000,118000,107500
158,$210000 - $246000,USD,210000,246000,228000
159,CHF 92000 - CHF 103000,CHF,92000,103000,97500
160,€102000 - €131000,EUR,102000,131000,116500
161,A$94000 - A$107000,AUD,94000,107000,100500
162,€79000 - €94000,EUR,79000,94000,86500
163,"¥6,300 - ¥7,200",JPY,6300,7200,6750
164,S$68000 - S$79000,SGD,68000,79000,73500
165,€113000 - €134000,EUR,113000,134000,123500
166,€153000 - €185000,EUR,153000,185000,169000
167,€75000 - €89000,EUR,75000,89000,82000
168,£47000 - £59000,GBP,47000,59000,53000
169,CHF 99000 - CHF 118000,CHF,99000,118000,108500
170,€142000 - €170000,EUR,142000,170000,156000
171,CHF 93000 - CHF 106000,CHF,93000,106000,99500
172,€132000 - €165000,EUR,132000,165000,148500
173,C$154000 - C$181000,CAD,154000,181000,167500
174,₹18L - ₹24L,INR,1800000,2400000,2100000
175,$123000 - $158000,USD,123000,158000,140500
176,C$73000 - C$95000,CAD,73000,95000,84000
177,£49000 - £62000,GBP,49000,62000,55500
178,$89000 - $104000,USD,89000,104000,96500
179,€91000 - €101000,EUR,91000,101000,96000
180,S$148000 - S$183000,SGD,148000,183000,165500
181,CHF 93000 - CHF 120000,CHF,93000,120000,106500
182,₹8L - ₹16L,INR,800000,1600000,1200000
183,$133000 - $163000,USD,133000,163000,148000
184,€147000 - €167000,EUR,147000,167000,157000
185,€99000 - €121000,EUR,99000,121000,110000
186,€92000 - €120000,EUR,92000,120000,106000
187,€140000 - €181000,EUR,140000,181000,160500
188,$92000 - $106000,USD,92000,106000,99000
189,€77000 - €93000,EUR,77000,93000,85000
190,CHF 90000 - CHF 100000,CHF,90000,100000,95000
191,€145000 - €179000,EUR,145000,179000,162000
192,€90000 - €120000,EUR,90000,120000,105000
193,₹37L - ₹57L,INR,3700000,5700000,4700000
194,€78000 - €95000,EUR,78000,95000,86500
195,€97000 - €109000,EUR,97000,109000,103000
196,£108000 - £140000,GBP,108000,140000,124000
197,A$68000 - A$77000,AUD,68000,77000,72500
198,€95000 - €121000,EUR,95000,121000,108000
199,CHF 64000 - CHF 88000,CHF,64000,88000,76000
200,S$151000 - S$180000,SGD,151000,180000,165500
201,A$99000 - A$119000,AUD,99000,119000,109000
202,€65000 - €75000,EUR,65000,75000,70000
203,€80000 - €103000,EUR,80000,103000,91500
204,C$109000 - C$136000,CAD,109000,136000,122500
205,€99000 - €112000,EUR,99000,112000,105500
206,A$152000 - A$179000,AUD,152000,179000,165500
207,S$136000 - S$160000,SGD,136000,160000,148000
208,S$141000 - S$171000,SGD,141000,171000,156000
209,"¥9,500 - ¥12,200",JPY,9500,12200,10850
210,CHF 92000 - CHF 105000,CHF,92000,105000,98500
211,C$103000 - C$123000,CAD,103000,123000,113000
212,€66000 - €88000,EUR,66000,88000,77000
213,C$70000 - C$85000,CAD,70000,85000,77500
214,£69000 - £92000,GBP,69000,92000,80500
215,€152000 - €172000,EUR,152000,172000,162000
216,€151000 - €180000,EUR,151000,180000,165500
217,$180000 - $221000,USD,180000,221000,200500
218,₹35L - ₹52L,INR,3500000,5200000,4350000
219,C$98000 - C$112000,CAD,98000,112000,105000
220,C$107000 - C$129000,CAD,107000,129000,118000
221,€140000 - €165000,EUR,140000,165000,152500
222,CHF 136000 - CHF 155000,CHF,136000,155000,145500
223,$86000 - $103000,USD,86000,103000,94500
224,C$151000 - C$181000,CAD,151000,181000,166000
225,"¥13,300 - ¥15,800",JPY,13300,15800,14550
226,₹20L - ₹25L,INR,2000000,2500000,2250000
227,€132000 - €155000,EUR,132000,155000,143500
228,€116000 - €149000,EUR,116000,149000,132500
229,"¥13,600 - ¥17,700",JPY,13600,17700,15650
230,€98000 - €117000,EUR,98000,117000,107500
231,S$67000 - S$79000,SGD,67000,79000,73000
232,€135000 - €165000,EUR,135000,165000,150000
233,C$98000 - C$115000,CAD,98000,115000,106500
234,A$146000 - A$166000,AUD,146000,166000,156000
235,A$103000 - A$125000,AUD,103000,125000,114000
236,CHF 102000 - CHF 114000,CHF,102000,114000,108000
237,C$99000 - C$114000,CAD,99000,114000,106500
238,A$152000 - A$178000,AUD,152000,178000,165000
239,€130000 - €158000,EUR,130000,158000,144000
240,€141000 - €168000,EUR,141000,168000,154500
241,S$91000 - S$113000,SGD,91000,113000,102000
242,€98000 - €120000,EUR,98000,120000,109000
243,€95000 - €120000,EUR,95000,120000,107500
244,CHF 102000 - CHF 118000,CHF,102000,118000,110000
245,€51000 - €63000,EUR,51000,63000,57000
246,A$142000 - A$175000,AUD,142000,175000,158500
247,₹18L - ₹34L,INR,1800000,3400000,2600000
248,CHF 133000 - CHF 177000,CHF,133000,177000,155000
249,S$135000 - S$161000,SGD,135000,161000,148000
250,CHF 144000 - CHF 187000,CHF,144000,187000,165500
251,₹9L - ₹20L,INR,900000,2000000,1450000
252,€116000 - €134000,EUR,116000,134000,125000
253,"¥13,100 - ¥16,700",JPY,13100,16700,14900
254,€67000 - €86000,EUR,67000,86000,76500
255,CHF 153000 - CHF 198000,CHF,153000,198000,175500
256,€70000 - €86000,EUR,70000,86000,78000
257,S$149000 - S$181000,SGD,149000,181000,165000
258,CHF 99000 - CHF 115000,CHF,99000,115000,107000
259,€53000 - €58000,EUR,53000,58000,55500
260,$184000 - $237000,USD,184000,237000,210500
261,"¥14,900 - ¥18,300",JPY,14900,18300,16600
262,S$99000 - S$125000,SGD,99000,125000,112000
263,CHF 98000 - CHF 124000,CHF,98000,124000,111000
264,C$151000 - C$186000,CAD,151000,186000,168500
265,S$68000 - S$78000,SGD,68000,78000,73000
266,£65000 - £77000,GBP,65000,77000,71000
267,£111000 - £150000,GBP,111000,150000,130500
268,₹10L - ₹16L,INR,1000000,1600000,1300000
269,A$145000 - A$179000,AUD,145000,179000,162000
270,€97000 - €115000,EUR,97000,115000,106000
271,A$152000 - A$192000,AUD,152000,192000,172000
272,₹40L - ₹59L,INR,4000000,5900000,4950000
273,C$141000 - C$178000,CAD,141000,178000,159500
274,"¥9,700 - ¥12,700",JPY,9700,12700,11200
275,C$96000 - C$123000,CAD,96000,123000,109500
276,"¥10,100 - ¥12,900",JPY,10100,12900,11500
277,$139000 - $165000,USD,139000,165000,152000
278,£71000 - £85000,GBP,71000,85000,78000
279,CHF 101000 - CHF 129000,CHF,101000,129000,115000
280,"¥9,300 - ¥12,300",JPY,9300,12300,10800
281,€63000 - €76000,EUR,63000,76000,69500
282,€149000 - €183000,EUR,149000,183000,166000
283,€133000 - €158000,EUR,133000,158000,145500
284,₹19L - ₹35L,INR,1900000,3500000,2700000
285,€132000 - €160000,EUR,132000,160000,146000
286,$137000 - $174000,USD,137000,174000,155500
287,"¥14,000 - ¥16,200",JPY,14000,16200,15100
288,"¥9,200 - ¥11,200",JPY,9200,11200,10200
289,€103000 - €114000,EUR,103000,114000,108500
290,€53000 - €62000,EUR,53000,62000,57500
291,€64000 - €75000,EUR,64000,75000,69500
292,"¥13,100 - ¥16,000",JPY,13100,16000,14550
293,"¥10,000 - ¥12,600",JPY,10000,12600,11300
294,€116000 - €134000,EUR,116000,134000,125000
295,C$95000 - C$107000,CAD,95000,107000,101000
296,"¥6,900 - ¥8,400",JPY,6900,8400,7650
297,€106000 - €119000,EUR,106000,119000,112500
298,€65000 - €86000,EUR,65000,86000,75500
299,$202000 - $249000,USD,202000,249000,225500
300,CHF 151000 - CHF 172000,CHF,151000,172000,161500
301,₹10L - ₹14L,INR,1000000,1400000,1200000
302,€100000 - €112000,EUR,100000,112000,106000
303,CHF 61000 - CHF 72000,CHF,61000,72000,66500
304,"¥14,100 - ¥16,200",JPY,14100,16200,15150
305,€90000 - €115000,EUR,90000,115000,102500
306,€70000 - €90000,EUR,70000,90000,80000
307,A$91000 - A$121000,AUD,91000,121000,106000
308,€56000 - €62000,EUR,56000,62000,59000
309,€64000 - €71000,EUR,64000,71000,67500
310,₹37L - ₹58L,INR,3700000,5800000,4750000
311,€103000 - €113000,EUR,103000,113000,108000
312,$212000 - $251000,USD,212000,251000,231500
313,€139000 - €174000,EUR,139000,174000,156500
314,₹17L - ₹25L,INR,1700000,2500000,2100000
315,₹39L - ₹54L,INR,3900000,5400000,4650000
316,C$151000 - C$195000,CAD,151000,195000,173000
317,"¥7,000 - ¥8,100",JPY,7000,8100,7550
318,CHF 96000 - CHF 113000,CHF,96000,113000,104500
319,CHF 93000 - CHF 109000,CHF,93000,109000,101000
320,A$102000 - A$124000,AUD,102000,124000,113000
321,C$101000 - C$117000,CAD,101000,117000,109000
322,€70000 - €77000,EUR,70000,77000,73500
323,€92000 - €107000,EUR,92000,107000,99500
324,A$91000 - A$117000,AUD,91000,117000,104000
325,S$99000 - S$121000,SGD,99000,121000,110000
326,€140000 - €168000,EUR,140000,168000,154000
327,€98000 - €123000,EUR,98000,123000,110500
328,€103000 - €120000,EUR,103000,120000,111500
329,CHF 90000 - CHF 101000,CHF,90000,101000,95500
330,CHF 136000 - CHF 180000,CHF,136000,180000,158000
331,£75000 - £89000,GBP,75000,89000,82000
332,"¥9,000 - ¥10,400",JPY,9000,10400,9700
333,€114000 - €136000,EUR,114000,136000,125000
334,€103000 - €124000,EUR,103000,124000,113500
335,"¥9,200 - ¥10,200",JPY,9200,10200,9700
336,C$110000 - C$123000,CAD,110000,123000,116500
337,C$96000 - C$126000,CAD,96000,126000,111000
338,€134000 - €158000,EUR,134000,158000,146000
339,S$140000 - S$159000,SGD,140000,159000,149500
340,"¥6,000 - ¥6,700",JPY,6000,6700,6350
341,₹10L - ₹22L,INR,1000000,2200000,1600000
342,£116000 - £157000,GBP,116000,157000,136500
343,£95000 - £119000,GBP,95000,119000,107000
344,€91000 - €120000,EUR,91000,120000,105500
345,A$137000 - A$154000,AUD,137000,154000,145500
346,$135000 - $166000,USD,135000,166000,150500
347,€94000 - €119000,EUR,94000,119000,106500
348,$120000 - $143000,USD,120000,143000,131500
349,€147000 - €179000,EUR,147000,179000,163000
350,€145000 - €176000,EUR,145000,176000,160500
351,"¥14,400 - ¥16,800",JPY,14400,16800,15600
352,€97000 - €117000,EUR,97000,117000,107000
353,€99000 - €112000,EUR,99000,112000,105500
354,€92000 - €108000,EUR,92000,108000,100000
355,$91000 - $102000,USD,91000,102000,96500
356,€90000 - €117000,EUR,90000,117000,103500
357,C$142000 - C$183000,CAD,142000,183000,162500
358,C$106000 - C$134000,CAD,106000,134000,120000
359,S$61000 - S$76000,SGD,61000,76000,68500
360,£72000 - £96000,GBP,72000,96000,84000
361,£49000 - £58000,GBP,49000,58000,53500
362,€102000 - €130000,EUR,102000,130000,116000
363,€78000 - €100000,EUR,78000,100000,89000
364,€56000 - €71000,EUR,56000,71000,63500
365,€97000 - €120000,EUR,97000,120000,108500
366,A$130000 - A$163000,AUD,130000,163000,146500
367,€70000 - €95000,EUR,70000,95000,82500
368,S$65000 - S$82000,SGD,65000,82000,73500
369,A$102000 - A$129000,AUD,102000,129000,115500
370,A$61000 - A$79000,AUD,61000,79000,70000
371,€143000 - €185000,EUR,143000,185000,164000
372,€103000 - €116000,EUR,103000,116000,109500
373,€91000 - €104000,EUR,91000,104000,97500
374,"¥6,200 - ¥8,500",JPY,6200,8500,7350
375,€76000 - €97000,EUR,76000,97000,86500
376,€108000 - €126000,EUR,108000,126000,117000
377,"¥9,400 - ¥10,800",JPY,9400,10800,10100
378,€70000 - €81000,EUR,70000,81000,75500
379,€70000 - €85000,EUR,70000,85000,77500
380,CHF 148000 - CHF 167000,CHF,148000,167000,157500
381,€55000 - €69000,EUR,55000,69000,62000
382,€72000 - €96000,EUR,72000,96000,84000
383,"¥6,300 - ¥8,300",JPY,6300,8300,7300
384,€137000 - €157000,EUR,137000,157000,147000
385,₹9L - ₹16L,INR,900000,1600000,1250000
386,€98000 - €119000,EUR,98000,119000,108500
387,€112000 - €147000,EUR,112000,147000,129500
388,€93000 - €109000,EUR,93000,109000,101000
389,A$99000 - A$117000,AUD,99000,117000,108000
390,€140000 - €169000,EUR,140000,169000,154500
391,€103000 - €124000,EUR,103000,124000,113500
392,€100000 - €133000,EUR,100000,133000,116500
393,£69000 - £91000,GBP,69000,91000,80000
394,A$149000 - A$183000,AUD,149000,183000,166000
395,C$98000 - C$125000,CAD,98000,125000,111500
396,€60000 - €80000,EUR,60000,80000,70000
397,CHF 143000 - CHF 178000,CHF,143000,178000,160500
398,£45000 - £60000,GBP,45000,60000,52500
399,C$159000 - C$179000,CAD,159000,179000,169000
400,€78000 - €90000,EUR,78000,90000,84000
401,€132000 - €167000,EUR,132000,167000,149500
402,€64000 - €84000,EUR,64000,84000,74000
403,S$67000 - S$80000,SGD,67000,80000,73500
404,A$131000 - A$155000,AUD,131000,155000,143000
405,"¥7,000 - ¥8,800",JPY,7000,8800,7900
406,€69000 - €76000,EUR,69000,76000,72500
407,£68000 - £79000,GBP,68000,79000,73500
408,€65000 - €80000,EUR,65000,80000,72500
409,₹8L - ₹19L,INR,800000,1900000,1350000
410,CHF 137000 - CHF 179000,CHF,137000,179000,158000
411,CHF 103000 - CHF 115000,CHF,103000,115000,109000
412,C$97000 - C$125000,CAD,97000,125000,111000
413,A$100000 - A$119000,AUD,100000,119000,109500
414,€133000 - €159000,EUR,133000,159000,146000
415,S$103000 - S$132000,SGD,103000,132000,117500
416,£96000 - £113000,GBP,96000,113000,104500
417,€97000 - €127000,EUR,97000,127000,112000
418,₹15L - ₹24L,INR,1500000,2400000,1950000
419,$135000 - $159000,USD,135000,159000,147000
420,€101000 - €121000,EUR,101000,121000,111000
421,£66000 - £89000,GBP,66000,89000,77500
422,A$64000 - A$82000,AUD,64000,82000,73000
423,₹18L - ₹25L,INR,1800000,2500000,2150000
424,€73000 - €89000,EUR,73000,89000,81000
425,£48000 - £58000,GBP,48000,58000,53000
426,C$162000 - C$189000,CAD,162000,189000,175500
427,C$153000 - C$173000,CAD,153000,173000,163000
428,A$93000 - A$123000,AUD,93000,123000,108000
429,₹20L - ₹34L,INR,2000000,3400000,2700000
430,€70000 - €82000,EUR,70000,82000,76000
431,"¥14,300 - ¥17,000",JPY,14300,17000,15650
432,S$135000 - S$178000,SGD,135000,178000,156500
433,₹15L - ₹29L,INR,1500000,2900000,2200000
434,S$93000 - S$108000,SGD,93000,108000,100500
435,€99000 - €126000,EUR,99000,126000,112500
436,€94000 - €112000,EUR,94000,112000,103000
437,CHF 92000 - CHF 121000,CHF,92000,121000,106500
438,CHF 102000 - CHF 129000,CHF,102000,129000,115500
439,₹17L - ₹26L,INR,1700000,2600000,2150000
440,"¥13,700 - ¥17,700",JPY,13700,17700,15700
441,£72000 - £91000,GBP,72000,91000,81500
442,A$146000 - A$169000,AUD,146000,169000,157500
443,€99000 - €122000,EUR,99000,122000,110500
444,€92000 - €117000,EUR,92000,117000,104500
445,S$150000 - S$186000,SGD,150000,186000,168000
446,₹39L - ₹58L,INR,3900000,5800000,4850000
447,€60000 - €81000,EUR,60000,81000,70500
448,A$69000 - A$83000,AUD,69000,83000,76000
449,₹39L - ₹64L,INR,3900000,6400000,5150000
450,A$68000 - A$83000,AUD,68000,83000,75500
451,£98000 - £116000,GBP,98000,116000,107000
452,$137000 - $171000,USD,137000,171000,154000
453,"¥9,300 - ¥11,700",JPY,9300,11700,10500
454,€64000 - €80000,EUR,64000,80000,72000
455,£51000 - £63000,GBP,51000,63000,57000
456,€95000 - €106000,EUR,95000,106000,100500
457,C$71000 - C$79000,CAD,71000,79000,75000
458,₹41L - ₹65L,INR,4100000,6500000,5300000
459,£71000 - £92000,GBP,71000,92000,81500
460,S$101000 - S$125000,SGD,101000,125000,113000
461,€139000 - €166000,EUR,139000,166000,152500
462,S$97000 - S$107000,SGD,97000,107000,102000
463,A$100000 - A$122000,AUD,100000,122000,111000
464,$126000 - $156000,USD,126000,156000,141000
465,A$140000 - A$162000,AUD,140000,162000,151000
466,₹19L - ₹29L,INR,1900000,2900000,2400000
467,S$96000 - S$123000,SGD,96000,123000,109500
468,CHF 69000 - CHF 76000,CHF,69000,76000,72500
469,£72000 - £81000,GBP,72000,81000,76500
470,€152000 - €179000,EUR,152000,179000,165500
471,"¥9,500 - ¥12,500",JPY,9500,12500,11000
472,$130000 - $146000,USD,130000,146000,138000
473,CHF 146000 - CHF 176000,CHF,146000,176000,161000
474,₹20L - ₹23L,INR,2000000,2300000,2150000
475,C$108000 - C$128000,CAD,108000,128000,118000
476,C$77000 - C$89000,CAD,77000,89000,83000
477,€151000 - €186000,EUR,151000,186000,168500
478,€132000 - €162000,EUR,132000,162000,147000
479,€66000 - €87000,EUR,66000,87000,76500
480,A$144000 - A$189000,AUD,144000,189000,166500
481,$86000 - $116000,USD,86000,116000,101000
482,€78000 - €95000,EUR,78000,95000,86500
483,C$145000 - C$184000,CAD,145000,184000,164500
484,€140000 - €170000,EUR,140000,170000,155000
485,C$160000 - C$206000,CAD,160000,206000,183000
486,"¥10,300 - ¥12,200",JPY,10300,12200,11250
487,€135000 - €162000,EUR,135000,162000,148500
488,€55000 - €67000,EUR,55000,67000,61000
489,€73000 - €86000,EUR,73000,86000,79500
490,"¥13,700 - ¥16,700",JPY,13700,16700,15200
491,CHF 96000 - CHF 106000,CHF,96000,106000,101000
492,CHF 64000 - CHF 78000,CHF,64000,78000,71000
493,€62000 - €76000,EUR,62000,76000,69000
494,€98000 - €122000,EUR,98000,122000,110000
495,CHF 99000 - CHF 118000,CHF,99000,118000,108500
496,A$148000 - A$187000,AUD,148000,187000,167500
497,€98000 - €119000,EUR,98000,119000,108500
498,A$92000 - A$110000,AUD,92000,110000,101000
499,A$99000 - A$109000,AUD,99000,109000,104000
500,$200000 - $246000,USD,200000,246000,223000
501,A$70000 - A$84000,AUD,70000,84000,77000
502,S$103000 - S$132000,SGD,103000,132000,117500
503,"¥9,800 - ¥11,800",JPY,9800,11800,10800
504,S$102000 - S$124000,SGD,102000,124000,113000
505,A$92000 - A$119000,AUD,92000,119000,105500
506,€67000 - €78000,EUR,67000,78000,72500
507,₹19L - ₹34L,INR,1900000,3400000,2650000
508,A$91000 - A$111000,AUD,91000,111000,101000
509,€98000 - €109000,EUR,98000,109000,103500
510,$131000 - $169000,USD,131000,169000,150000
511,₹17L - ₹34L,INR,1700000,3400000,2550000
512,CHF 150000 - CHF 174000,CHF,150000,174000,162000
513,₹30L - ₹53L,INR,3000000,5300000,4150000
514,₹15L - ₹32L,INR,1500000,3200000,2350000
515,A$149000 - A$176000,AUD,149000,176000,162500
516,"¥6,500 - ¥7,500",JPY,6500,7500,7000
517,€95000 - €119000,EUR,95000,119000,107000
518,€99000 - €127000,EUR,99000,127000,113000
519,€153000 - €179000,EUR,153000,179000,166000
520,€130000 - €174000,EUR,130000,174000,152000
521,CHF 90000 - CHF 103000,CHF,90000,103000,96500
522,£75000 - £85000,GBP,75000,85000,80000
523,S$135000 - S$158000,SGD,135000,158000,146500
524,$136000 - $162000,USD,136000,162000,149000
525,CHF 97000 - CHF 126000,CHF,97000,126000,111500
526,"¥7,000 - ¥9,000",JPY,7000,9000,8000
527,$197000 - $244000,USD,197000,244000,220500
528,€135000 - €156000,EUR,135000,156000,145500
529,€101000 - €115000,EUR,101000,115000,108000
530,A$146000 - A$186000,AUD,146000,186000,166000
531,"¥6,000 - ¥7,600",JPY,6000,7600,6800
532,€96000 - €121000,EUR,96000,121000,108500
533,€60000 - €70000,EUR,60000,70000,65000
534,€61000 - €80000,EUR,61000,80000,70500
535,€68000 - €77000,EUR,68000,77000,72500
536,C$102000 - C$118000,CAD,102000,118000,110000
537,S$141000 - S$172000,SGD,141000,172000,156500
538,$198000 - $269000,USD,198000,269000,233500
